name,id,key,potid,potkey,units,atom_style,allsymbols,pair_style,status,symbols,elements
MO_673777079812,Morse_Shifted_GirifalcoWeizer_1959LowCutoff_Cu__MO_673777079812_004,26ceb452-7ca8-4e3b-a1c1-a917b999df04,1959--Girifalco-L-A-Weizer-V-G--Cu,7f6bbe87-3a1a-44a1-aa71-ac20311c12d3,metal,atomic,False,kim,active,['Cu'],['Cu']
MO_676977998912,Morse_Shifted_GirifalcoWeizer_1959HighCutoff_Ba__MO_676977998912_004,c04f19c6-2053-4c7c-8dfa-c559b3cc56b7,1959--Girifalco-L-A-Weizer-V-G--Ba,6a48283f-2dd6-44fb-8bbc-dc8e58e9efb9,metal,atomic,False,kim,active,['Ba'],['Ba']
MO_678952612413,EAM_Dynamo_PunYamakovMishin_2013_AlCo__MO_678952612413_000,6620b2d5-b357-4570-bc10-0b8c7a81f7e8,2015--Purja-Pun-G-P-Yamakov-V-Mishin-Y--Al-Co,71b03297-b66d-4efd-9502-02cf83d9dc38,metal,atomic,False,kim,active,"['Al', 'Co']","['Al', 'Co']"
MO_679329885632,EAM_Dynamo_SmirnovaKuskinStarikov_2013_UMoXe__MO_679329885632_005,4083c6f9-dce9-4b8f-9d7a-23aeb341eb5b,2013--Smirnova-D-E-Kuksin-A-Y-Starikov-S-V-et-al--U-Mo-Xe,fc5a9a34-b8be-4935-aa63-aa02a15d93b8,metal,atomic,False,kim,active,"['U', 'Mo', 'Xe']","['U', 'Mo', 'Xe']"
MO_681088298208,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_Fe__MO_681088298208_000,e00c6170-0c8b-49c3-9523-c6b1307474ca,2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Fe,030d9099-cf7f-4623-b597-733e80d214a4,metal,atomic,False,kim,active,['Fe'],['Fe']
MO_681640899874,EAM_Dynamo_AdamsFoilesWolfer_1989Universal6_Ag__MO_681640899874_000,2610d078-ca9f-4f58-a36f-a4d74a3b6760,1989--Adams-J-B-Foiles-S-M-Wolfer-W-G--Ag,d1e36148-f138-4ee0-ab7d-1fb5442805d8,metal,atomic,False,kim,active,['Ag'],['Ag']
MO_683890323730,EAM_MagneticCubic_DerletNguyenDudarev_2007_V__MO_683890323730_002,1296ea44-928d-4aef-8fa7-a0cb539e5e14,2007--Derlet-P-M-Nguyen-Manh-D-Dudarev-S-L--V,6fb7c9e8-dc44-4ce8-90a6-0264bf926e67,metal,atomic,False,kim,active,['V'],['V']
MO_684444719999,EAM_Dynamo_ZhouJohnsonWadley_2004NISTretabulation_Au__MO_684444719999_000,3347c89b-20fe-4397-a98c-6256c11cf4db,2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Au,56c064d6-9bb4-42b6-b5e1-b54bb4dbae1d,metal,atomic,False,kim,active,['Au'],['Au']
MO_692442138123,SNAP_ZuoChenLi_2019quadratic_Mo__MO_692442138123_000,baa08bf7-bfa0-4651-9850-12c53ad0e995,2020--Zuo-Y-Chen-C-Li-X-et-al--Mo-qSNAP,fb134074-5abe-495f-857a-c8e70466c7b1,metal,atomic,False,kim,active,['Mo'],['Mo']
MO_694335101831,MEAM_LAMMPS_WangOhLee_2020_CuCo__MO_694335101831_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_698578166685,SNAP_ChenDengTran_2017_Mo__MO_698578166685_000,44157f3d-aa1e-4a55-8d10-fd51ee68e0e4,2017--Chen-C-Deng-Z-Tran-R-et-al--Mo,06d65bd6-17bf-43db-a8d8-0d0713f67a3a,metal,atomic,False,kim,active,['Mo'],['Mo']
MO_699137396381,EAM_Dynamo_LandaWynblattSiegel_2000_AlPb__MO_699137396381_005,55748421-c25c-43a8-9d26-343028a64a6a,2000--Landa-A-Wynblatt-P-Siegel-D-J-et-al--Al-Pb,df6401e2-2541-484c-bf5d-1b0ff4b1ac39,metal,atomic,False,kim,active,"['Al', 'Pb']","['Al', 'Pb']"
MO_700541006254,MEAM_LAMMPS_AsadiZaeemNouranian_2015_Ni__MO_700541006254_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_703849496106,Morse_EIP_GuthikondaElliott_2011_AuCd__MO_703849496106_002,b1559086-44f2-4434-bf94-ff580340b3cc,2009--Guthikonda-V-S-Elliott-R-S--Au-Cd,7d6b30cb-0120-4a4d-906e-285b4d38a379,metal,atomic,False,kim,active,"['Au', 'Cd']","['Au', 'Cd']"
