name,key,id,sourcename,sourcelink,crystalfamily,natypes,symbols,composition,a,b,c,alpha,beta,gamma,natoms
mp-32742,7c42332f-248d-4640-a574-f75441abbc62,mp-32742,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['N', 'U']",N25U16,15.089499822446,15.08949982244604,9.20512153,90.0,90.0,120.00000000000037,123.0
mp-32761,756cef34-54ac-40d4-86f2-386fcaab979f,mp-32761,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['O', 'Si']",OSi,4.516529285,4.516529285000028,9.56932825,90.0,90.0,119.99999999999979,12.0
mp-328,5a523b03-4daa-4cc0-9ba6-b5f5ee448594,mp-328,Materials Project,https://materialsproject.org/,tetragonal,2.0,"['Ni', 'Zr']",NiZr2,6.5129332645931,6.5129332645931,5.23063487,90.0,90.0,90.0,12.0
mp-32813,6849b8cf-72ce-45b1-aad4-b85e7ba49a30,mp-32813,Materials Project,https://materialsproject.org/,triclinic,2.0,"['O', 'Ti']",O10Ti9,4.4605061948548,5.523910710000026,8.961579555795861,99.15051483674073,90.55918867173064,111.47159219724172,19.0
mp-32854,2040fc53-8e99-447b-ac2a-5bec68662803,mp-32854,Materials Project,https://materialsproject.org/,triclinic,2.0,"['H', 'O']",H11O8,4.38720993,4.488854830045051,11.410987220000266,85.82925940907232,86.48107931000004,66.84676766898266,19.0
mp-32881,eefca99d-7f82-4f7a-a5df-fb9b62f1d8a2,mp-32881,Materials Project,https://materialsproject.org/,monoclinic,2.0,"['O', 'Si']",OSi3,18.244371556362,4.32816531,8.421636053225711,90.0,108.45995138487002,90.0,32.0
mp-32895,e8629dd6-637c-4e4a-bcb7-567f7ec73417,mp-32895,Materials Project,https://materialsproject.org/,cubic,2.0,"['O', 'Si']",O2Si,24.563348285416,24.563348285416,24.563348285416,90.0,90.0,90.0,576.0
mp-32899,56d6e210-dacc-4934-ada6-d7020c4ed0f5,mp-32899,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['Li', 'S']",Li2S,3.9961997384596,3.996199738459649,110.25330727586,90.0,90.0,119.99999999999962,99.0
mp-32939,cae5dddd-e62f-4458-99ba-285f6b1f388b,mp-32939,Materials Project,https://materialsproject.org/,cubic,2.0,"['Fe', 'O']",Fe7O8,8.674285996391587,8.674285996391587,8.674285996391587,90.0,90.0,90.0,60.0
mp-32959,4452215e-3c86-4a20-81b2-fd35a6e9b77c,mp-32959,Materials Project,https://materialsproject.org/,tetragonal,2.0,"['H', 'O']",H2O,3.41382139,3.41382139,3.38122831,90.0,90.0,90.0,6.0
mp-33,57e0d4e5-4698-4e55-99c4-1b1b1ea32274,mp-33,Materials Project,https://materialsproject.org/,hexagonal,1.0,['Ru'],Ru,2.738817995,2.738817995000033,4.29205455,90.0,90.0,119.99999999999962,2.0
mp-33255,f79c0910-0659-42c7-b3cc-54b050f3bd77,mp-33255,Materials Project,https://materialsproject.org/,monoclinic,2.0,"['Ni', 'O']",Ni15O16,10.244828397951,5.8978753108871,10.70325856555724,90.0,108.73178045419661,90.0,62.0
mp-34,a26c615b-face-42c0-98a2-ffce411be460,mp-34,Materials Project,https://materialsproject.org/,hexagonal,1.0,['Si'],Si,2.64952467,2.649524670000016,2.47690544,90.0,90.0,119.99999999999982,1.0
mp-34150,29369c1f-dae9-496e-b554-e36a94749f06,mp-34150,Materials Project,https://materialsproject.org/,triclinic,2.0,"['O', 'Si']",O2Si,9.26686902,10.070830500000012,11.463957959999586,87.05445091999984,66.31134817999909,82.95342416999989,48.0
mp-34234,73acf585-2fcb-478e-9c15-26bf379ce04e,mp-34234,Materials Project,https://materialsproject.org/,monoclinic,3.0,"['Al', 'Ni', 'O']",Al2NiO4,9.9691051397186,5.77175835,13.99505676292906,90.0,90.11691113592512,90.0,84.0
mp-344,3914006c-9cfc-4553-bba7-6d0ad8d2411c,mp-344,Materials Project,https://materialsproject.org/,monoclinic,2.0,"['B', 'N']",BN,3.28764166,9.4310691988542,4.34856997000003,90.0,105.92192868000032,90.0,16.0
mp-34688,d995056a-601f-4b58-9ea3-a740c2f2d835,mp-34688,Materials Project,https://materialsproject.org/,monoclinic,2.0,"['O', 'Ti']",O2Ti,5.4042763868287,5.4139450874364,5.428861240000044,90.0,118.47508537177646,90.0,12.0
mp-35,f72f4942-16fa-42df-bc5e-34517625b500,mp-35,Materials Project,https://materialsproject.org/,cubic,1.0,['Mn'],Mn,8.6184975355782,8.6184975355782,8.6184975355782,90.0,90.0,90.0,58.0
mp-35200,a8a22039-ad8b-4666-ab13-448cfb4c73d1,mp-35200,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['Al', 'O']",AlO3,5.1580548158364,5.158054815836412,13.207314045747,90.0,90.0,119.99999999999994,24.0
mp-353,c343c439-b877-455e-9699-2cc438bb7a43,mp-353,Materials Project,https://materialsproject.org/,cubic,2.0,"['Ag', 'O']",Ag2O,4.84083729,4.84083729,4.84083729,90.0,90.0,90.0,6.0
