name,date,comment,systems
2016-08-15-C-N,2016-08-15,,"[{'formula': 'CaF<sub>2</sub>', 'elements': ['C', 'N']}]"
2016-08-23-Cr-O,2016-08-23,,"[{'formula': None, 'elements': ['Cr', 'O']}]"
2016-08-30-Al-B-C,2016-08-30,metal/ceramic system in LAMMPS,"[{'formula': 'Al-B<sub>4</sub>C', 'elements': ['Al', 'B', 'C']}]"
2016-08-30-Fe-Pt-Co-Pt,2016-08-30,,"[{'formula': None, 'elements': ['Fe', 'Pt']}, {'formula': None, 'elements': ['Co', 'Pt']}]"
2016-09-26-Ga-Si-Ga-N-Si-N,2016-09-26,,"[{'formula': None, 'elements': ['Ga', 'Si']}, {'formula': None, 'elements': ['Ga', 'N']}, {'formula': None, 'elements': ['Si', 'N']}]"
2016-10-19-Fe-Mo-B,2016-10-19,,"[{'formula': 'FeMo<sub>2</sub>B<sub>2</sub>', 'elements': ['Fe', 'Mo', 'B']}]"
2016-10-31-Cu-S,2016-10-31,for sulfur segrigation at ambient and intermediate temperatures,"[{'formula': None, 'elements': ['Cu', 'S']}]"
2016-11-02-W-C,2016-11-02,for mechanical sliding on graphite,"[{'formula': None, 'elements': ['W', 'C']}]"
2016-11-09-Cu-W,2016-11-09,,"[{'formula': None, 'elements': ['Cu', 'W']}]"
2016-11-15-Mo-Ag,2016-11-15,,"[{'formula': None, 'elements': ['Mo', 'Ag']}]"
2016-11-27-Fe-V-C-N,2016-11-27,2NN-MEAM-fs format,"[{'formula': None, 'elements': ['Fe', 'V', 'C', 'N']}]"
2016-11-28-Fe-Cr-C,2016-11-28,,"[{'formula': None, 'elements': ['Fe', 'Cr', 'C']}]"
2016-12-12-Cu-Cr,2016-12-12,,"[{'formula': None, 'elements': ['Cu', 'Cr']}]"
2017-02-19-Ni-Mo-Ni-Yb,2017-02-19,,"[{'formula': None, 'elements': ['Ni', 'Mo']}, {'formula': None, 'elements': ['Ni', 'Yb']}]"
2017-02-26-C-Se,2017-02-26,,"[{'formula': None, 'elements': ['C', 'Se']}]"
2017-03-04-Zr-O-H-Zr-H,2017-03-04,,"[{'formula': None, 'elements': ['Zr', 'O', 'H']}, {'formula': None, 'elements': ['Zr', 'H']}]"
2017-03-30-B-O,2017-03-30,,"[{'formula': 'B<sub>2</sub>O<sub>3</sub>', 'elements': ['B', 'O']}]"
2017-04-05-Fe-C,2017-04-05,"by Ruda, Farkas and Garcia (2009)","[{'formula': None, 'elements': ['Fe', 'C']}]"
2017-04-11-Pt-Ni,2017-04-11,,"[{'formula': None, 'elements': ['Pt', 'Ni']}]"
2017-04-12-Si-Ge,2017-04-12,for thermal conductivity of superlattice,"[{'formula': None, 'elements': ['Si', 'Ge']}]"
2017-04-16-Pb-N,2017-04-16,,"[{'formula': 'PbN<sub>6</sub>', 'elements': ['Pb', 'N']}]"
2017-04-17-Fe-H,2017-04-17,for H diffusion in bcc iron,"[{'formula': None, 'elements': ['Fe', 'H']}]"
2017-05-03-C-C-F,2017-05-03,for nanotubes (doped and pure) and graphene,"[{'formula': None, 'elements': ['C']}, {'formula': None, 'elements': ['C', 'F']}]"
2017-06-07-Cu-W,2017-06-07,,"[{'formula': None, 'elements': ['Cu', 'W']}]"
2017-06-08-Ca-F,2017-06-08,,"[{'formula': 'CaF<sub>2</sub>', 'elements': ['Ca', 'F']}]"
2017-08-10-Cd-Te-Sn,2017-08-10,for Sn on CdTe substrate,"[{'formula': None, 'elements': ['Cd', 'Te', 'Sn']}]"
2017-08-27-Zn-O,2017-08-27,metal and oxide,"[{'formula': None, 'elements': ['Zn', 'O']}]"
2017-09-05-P,2017-09-05,,"[{'formula': None, 'elements': ['P']}]"
2017-09-28-Ti-Mo-S,2017-09-28,Ti-MoS<sub>2</sub> interaction,"[{'formula': None, 'elements': ['Ti', 'Mo', 'S']}]"
2017-10-11-Fe-He-Fe-H,2017-10-11,,"[{'formula': None, 'elements': ['Fe', 'He']}, {'formula': None, 'elements': ['Fe', 'H']}]"
2017-11-04-Si-Ga-N,2017-11-04,SiN-GaN systems,"[{'formula': None, 'elements': ['Si', 'Ga', 'N']}]"
2017-12-03-Mg-O,2017-12-03,,"[{'formula': 'MgO', 'elements': ['Mg', 'O']}]"
2017-12-13-Si-He,2017-12-13,for ion sputtering,"[{'formula': None, 'elements': ['Si', 'He']}]"
2018-02-02-C-S-C-Se-C-Te,2018-02-02,,"[{'formula': None, 'elements': ['C', 'S']}, {'formula': None, 'elements': ['C', 'Se']}, {'formula': None, 'elements': ['C', 'Te']}]"
2018-03-26-Nb-C,2018-03-26,2NN-MEAM format,"[{'formula': None, 'elements': ['Nb', 'C']}]"
2018-04-24-Nb-O,2018-04-24,metal and oxide,"[{'formula': None, 'elements': ['Nb', 'O']}]"
2018-06-01-W-Cu,2018-06-01,,"[{'formula': None, 'elements': ['W', 'Cu']}]"
2018-06-12-Cr,2018-06-12,for radiation damage,"[{'formula': None, 'elements': ['Cr']}]"
2018-07-18-Zn,2018-07-18,MEAM format,"[{'formula': None, 'elements': ['Zn']}]"
2018-08-13-Al-O,2018-08-13,metal and oxide,"[{'formula': None, 'elements': ['Al', 'O']}]"
2018-09-18-Sr-Na-Si-O,2018-09-18,Buckingham format,"[{'formula': '(SrNa)SiO<sub>3</sub>', 'elements': ['Sr', 'Na', 'Si', 'O']}]"
2018-11-15-Fe-O,2018-11-15,"for FeO, Fe<sub>3</sub>O<sub>4</sub>, and Fe<sub>2</sub>O<sub>3</sub>","[{'formula': None, 'elements': ['Fe', 'O']}]"
2018-11-18-V-Ti,2018-11-18,,"[{'formula': None, 'elements': ['V', 'Ti']}]"
2018-11-20-Mg-Sc,2018-11-20,,"[{'formula': None, 'elements': ['Mg', 'Sc']}]"
2018-11-22-Zr-Fe,2018-11-22,,"[{'formula': None, 'elements': ['Zr', 'Fe']}]"
2019-02-25-P-P-Pd-P-Ni-P-Cu-P-C-P,2019-02-25,,"[{'formula': None, 'elements': ['P', 'P']}, {'formula': None, 'elements': ['Pd', 'P']}, {'formula': None, 'elements': ['Ni', 'P']}, {'formula': None, 'elements': ['Cu', 'P']}, {'formula': None, 'elements': ['C', 'P']}]"
2019-05-13-Ti-Al-V,2019-05-13,for Ti-6Al-4V,"[{'formula': None, 'elements': ['Ti', 'Al', 'V']}]"
2019-06-04-C-Co-C-Mg-C-Zn-Zn-Mg,2019-06-04,for diamond cutting simulations,"[{'formula': None, 'elements': ['C', 'Co']}, {'formula': None, 'elements': ['C', 'Mg']}, {'formula': None, 'elements': ['C', 'Zn']}, {'formula': None, 'elements': ['Zn', 'Mg']}]"
2019-06-28-,2019-06-28,,"[{'formula': 'Cu<sub>2</sub>CaSnS<sub>4</sub>', 'elements': []}]"
2019-07-11-In-Sb-Al-In-As-Al,2019-07-11,,"[{'formula': None, 'elements': ['In', 'Sb', 'Al']}, {'formula': None, 'elements': ['In', 'As', 'Al']}]"
2019-07-19-Zr-C,2019-07-19,thin films,"[{'formula': None, 'elements': ['Zr', 'C']}]"
2019-09-22-Cr-N,2019-09-22,for 2D CrN,"[{'formula': None, 'elements': ['Cr', 'N']}]"
2019-11-20 W C,2019-11-20,for tungsten-carbide alloys,"[{'formula': None, 'elements': ['W', 'C']}]"
2019-12-07 Hf O,2019-12-07,,"[{'formula': 'HfO<sub>2</sub>', 'elements': ['Hf', 'O']}]"
2019-12-15 Mg Si Mg O,2019-12-15,,"[{'formula': None, 'elements': ['Mg', 'Si']}, {'formula': None, 'elements': ['Mg', 'O']}]"
2019-12-18 Fe Ni,2019-12-18,by R. Meyer and P. Entel [Phys. Rev. B 57(9)(1998)5140].,"[{'formula': None, 'elements': ['Fe', 'Ni']}]"
2020-01-02 Mg Cu,2020-01-02,,"[{'formula': None, 'elements': ['Mg', 'Cu']}]"
