name,id,key,potid,potkey,units,atom_style,allsymbols,pair_style,status,symbols,elements,artifacts,comments,dois
2005--Erhart-P--Si-C-II--LAMMPS--ipr1,2005--Erhart-P--Si-C-II--LAMMPS--ipr1,9d2b8f21-7126-42ef-bda3-9680f1e1e0e2,2005--Erhart-P-Albe-K--Si-C-II,b484d453-4f89-44d2-b64f-bbca3eb97d30,metal,atomic,False,tersoff,active,"['Si', 'C']","['Si', 'C']","[{'filename': '2005_SiC_II.tersoff', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2005--Erhart-P-Albe-K--Si-C-II/1/2005_SiC_II.tersoff'}]","Potential 2005--Erhart-P--Si-C-II--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2005--Erhart-P-Albe-K--Si-C-II/2005--Erhart-P--Si-C-II--LAMMPS--ipr1.html
",['10.1103/physrevb.71.035211']
2005--Grochola-G--Au--LAMMPS--ipr1,2005--Grochola-G--Au--LAMMPS--ipr1,8f78e7a4-a563-471d-83ae-539939526902,2005--Grochola-G-Russo-S-P-Snook-I-K--Au,92a89043-e2bb-4c37-bd39-d98bf4e1de1e,metal,atomic,False,eam/alloy,active,['Au'],['Au'],"[{'filename': 'Au-Grochola-JCP05.eam.alloy', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2005--Grochola-G-Russo-S-P-Snook-I-K--Au/2/Au-Grochola-JCP05.eam.alloy'}, {'filename': 'Au-Grochola-JCP05-conversion-notes_v2.pdf', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2005--Grochola-G-Russo-S-P-Snook-I-K--Au/2/Au-Grochola-JCP05-conversion-notes_v2.pdf'}]","Potential 2005--Grochola-G--Au--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2005--Grochola-G-Russo-S-P-Snook-I-K--Au/2005--Grochola-G--Au--LAMMPS--ipr1.html
",['10.1063/1.2124667']
2005--Lee-B-J--C--LAMMPS--ipr1,2005--Lee-B-J--C--LAMMPS--ipr1,1f041a14-77ef-4628-9d30-31f0fef00b01,2005--Lee-B-J-Lee-J-W--C,7231c26b-5981-4c34-b2a4-0d719a6d897f,metal,atomic,False,meam,active,['C'],['C'],"[{'filename': 'library.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2005--Lee-B-J-Lee-J-W--C/1/library.meam'}, {'filename': 'C.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2005--Lee-B-J-Lee-J-W--C/1/C.meam'}]","Potential 2005--Lee-B-J--C--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2005--Lee-B-J-Lee-J-W--C/2005--Lee-B-J--C--LAMMPS--ipr1.html
",['10.1016/j.calphad.2005.02.003']
2005--Lee-B-J--Fe-Cu--LAMMPS--ipr1,2005--Lee-B-J--Fe-Cu--LAMMPS--ipr1,427d3115-f163-47fb-bcbd-fabe0cd5aa54,2005--Lee-B-J-Wirth-B-D-Shim-J-H-et-al--Fe-Cu,c42f9a0e-03a5-4830-9e8c-5dfd59d9be5b,metal,atomic,False,meam,active,"['Fe', 'Cu']","['Fe', 'Cu']","[{'filename': 'library.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2005--Lee-B-J-Wirth-B-D-Shim-J-H-et-al--Fe-Cu/1/library.meam'}, {'filename': 'FeCu.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2005--Lee-B-J-Wirth-B-D-Shim-J-H-et-al--Fe-Cu/1/FeCu.meam'}]","Potential 2005--Lee-B-J--Fe-Cu--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2005--Lee-B-J-Wirth-B-D-Shim-J-H-et-al--Fe-Cu/2005--Lee-B-J--Fe-Cu--LAMMPS--ipr1.html
",['10.1103/physrevb.71.184205']
2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1,2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1,28c0fe14-f6f2-4a0c-ac95-9d0e34c1534a,2005--Mendelev-M-I-Srolovitz-D-J-Ackland-G-J-Han-S--Al-Fe,f8613831-ee3a-431f-b9bd-468a0ee05664,metal,atomic,False,eam/fs,active,"['Al', 'Fe']","['Al', 'Fe']","[{'filename': 'Al-Fe.eam.fs', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2005--Mendelev-M-I-Srolovitz-D-J-Ackland-G-J-Han-S--Al-Fe/1/Al-Fe.eam.fs'}]","Potential 2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2005--Mendelev-M-I-Srolovitz-D-J-Ackland-G-J-Han-S--Al-Fe/2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1.html
",['10.1557/jmr.2005.0024']
2006--Bere-A--Ga-N--LAMMPS--ipr1,2006--Bere-A--Ga-N--LAMMPS--ipr1,c4c1c55f-d95f-4858-a15b-f33854107cd0,2006--Bere-A-Serra-A--Ga-N,a08eb46e-3856-4329-9dce-41af22f9acc1,metal,atomic,False,sw,active,"['Ga', 'N']","['Ga', 'N']","[{'filename': 'GaN.sw', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2006--Bere-A-Serra-A--Ga-N/1/GaN.sw'}]","Potential 2006--Bere-A--Ga-N--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2006--Bere-A-Serra-A--Ga-N/2006--Bere-A--Ga-N--LAMMPS--ipr1.html
",['10.1080/14786430600640486']
2006--Chamati-H--Fe--LAMMPS--ipr1,2006--Chamati-H--Fe--LAMMPS--ipr1,8ca857c2-a6eb-460d-b46a-a40e236c2616,2006--Chamati-H-Papanicolaou-N-I-Mishin-Y-Papaconstantopoulos-D-A--Fe,3837b6da-05c4-4148-97cd-90b26a2092df,metal,atomic,False,eam/alloy,active,['Fe'],['Fe'],"[{'filename': 'Fe_Mishin2006.eam.alloy', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2006--Chamati-H-Papanicolaou-N-I-Mishin-Y-Papaconstantopoulos-D-A--Fe/2/Fe_Mishin2006.eam.alloy'}]","Potential 2006--Chamati-H--Fe--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2006--Chamati-H-Papanicolaou-N-I-Mishin-Y-Papaconstantopoulos-D-A--Fe/2006--Chamati-H--Fe--LAMMPS--ipr1.html
",['10.1016/j.susc.2006.02.010']
2006--Kim-J--Fe-Pt--LAMMPS--ipr1,2006--Kim-J--Fe-Pt--LAMMPS--ipr1,3725f6e1-b33f-47d6-9771-89bfb7a5c409,2006--Kim-J-Koo-Y-Lee-B-J--Fe-Pt,3471d2e7-48b4-4c4b-bc63-2224b13ce49e,metal,atomic,False,meam,active,"['Pt', 'Fe']","['Pt', 'Fe']","[{'filename': 'library.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2006--Kim-J-Koo-Y-Lee-B-J--Fe-Pt/1/library.meam'}, {'filename': 'PtFe.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2006--Kim-J-Koo-Y-Lee-B-J--Fe-Pt/1/PtFe.meam'}]","Potential 2006--Kim-J--Fe-Pt--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2006--Kim-J-Koo-Y-Lee-B-J--Fe-Pt/2006--Kim-J--Fe-Pt--LAMMPS--ipr1.html
",['10.1557/jmr.2006.0008']
2006--Kim-Y-M--Ti--LAMMPS--ipr1,2006--Kim-Y-M--Ti--LAMMPS--ipr1,3c39464d-f79c-49bf-b724-84b18ef6cb5c,2006--Kim-Y-M-Lee-B-J-Baskes-M-I--Ti,87399f21-c1b5-4468-b057-5b3ce28d8d8c,metal,atomic,False,meam,active,['Ti'],['Ti'],"[{'filename': 'library.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2006--Kim-Y-M-Lee-B-J-Baskes-M-I--Ti/1/library.meam'}, {'filename': 'Ti.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2006--Kim-Y-M-Lee-B-J-Baskes-M-I--Ti/1/Ti.meam'}]","Potential 2006--Kim-Y-M--Ti--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2006--Kim-Y-M-Lee-B-J-Baskes-M-I--Ti/2006--Kim-Y-M--Ti--LAMMPS--ipr1.html
",['10.1103/physrevb.74.014101']
2006--Kim-Y-M--Zr--LAMMPS--ipr1,2006--Kim-Y-M--Zr--LAMMPS--ipr1,54eef92a-76dd-4b12-9485-bd1f51528084,2006--Kim-Y-M-Lee-B-J-Baskes-M-I--Zr,3ba8c85c-55b7-4ab1-8dc2-70db0a43155b,metal,atomic,False,meam,active,['Zr'],['Zr'],"[{'filename': 'library.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2006--Kim-Y-M-Lee-B-J-Baskes-M-I--Zr/1/library.meam'}, {'filename': 'Zr.meam', 'label': None, 'url': 'https://www.ctcms.nist.gov/potentials/Download/2006--Kim-Y-M-Lee-B-J-Baskes-M-I--Zr/1/Zr.meam'}]","Potential 2006--Kim-Y-M--Zr--LAMMPS--ipr1 listed in the NIST Interatomic Potentials Repository:
https://www.ctcms.nist.gov/potentials/entry/2006--Kim-Y-M-Lee-B-J-Baskes-M-I--Zr/2006--Kim-Y-M--Zr--LAMMPS--ipr1.html
",['10.1103/physrevb.74.014101']
